,weapon,desc,token
0,P2000,P2000 - стартовый пистолет спецназа который имеет 13 патронов в магазине и 52 в резерве. Он был разработан компанией Heckler & Koch под пистолетные патроны 9 mm Parabellum .40 S&W. Однако в игре калибр мощнее и называется он .357 SIG.Взаимозаменяем в игровом магазине с USP-S.,"['p2000_None', 'стартовый_ADJF', 'пистолет_NOUN', 'спецназ_NOUN', 'который_ADJF', 'иметь_VERB', '13_None', 'патрон_NOUN', 'магазин_NOUN', '52_None', 'резерв_NOUN', 'разработать_PRTS', 'компания_NOUN', 'heckler_None', 'koch_None', 'пистолетный_ADJF', 'патрон_NOUN', '9_None', 'mm_None', 'parabellum_None', '40_None', 's_None', 'w_None', 'однако_CONJ', 'игра_NOUN', 'калибр_NOUN', 'мощный_COMP', 'называться_VERB', '357_None', 'sig_None', 'взаимозаменяемый_ADJS', 'игровой_ADJF', 'магазин_NOUN', 'usp_None', 's_None']"
1,Glock-18,Каждая обойма Glock-18 имеет 20 патронов калибра 9мм и 120 патронов в запасе. У этого пистолета имеется 2 режима стрельбы: полуавтоматический и очереди из трех патрон. При стрельбе очередями из трех патрон отдача и разброс заметно увеличивается но всё-таки это применимо на близких дистанциях.,"['каждый_ADJF', 'обойма_NOUN', 'glock_None', '18_None', 'иметь_VERB', '20_None', 'патрон_NOUN', 'калибр_NOUN', '9мм_None', '120_None', 'патрон_NOUN', 'запас_NOUN', 'это_NPRO', 'пистолет_NOUN', 'иметься_VERB', '2_None', 'режим_NOUN', 'стрельба_NOUN', 'полуавтоматический_ADJF', 'очередь_NOUN', 'патрон_NOUN', 'стрельба_NOUN', 'очередь_NOUN', 'патрон_NOUN', 'отдача_NOUN', 'разброс_NOUN', 'заметно_ADVB', 'увеличиваться_VERB', 'всё_PRCL', 'таки_PRCL', 'это_PRCL', 'применимый_ADJS', 'близкий_ADJF', 'дистанция_NOUN']"
2,Desert Eagle,Desert Eagle — самый мощный пистолет в серии игр Counter-Strike и один из самых мощных в Counter-Strike: Global Offensiv.Единственный экземпляр из категории «Пистолеты» пробивающий стены. С первого выстрела в голову убивает даже защищённого каской противника. Закупается чаще снайперами с AWP поскольку очень мощный и помогает быстро убить противника на ближних дистанциях.,"['desert_None', 'eagle_None', 'самый_ADJF', 'мощный_ADJF', 'пистолет_NOUN', 'серия_NOUN', 'игра_NOUN', 'counter_None', 'strike_None', 'самый_ADJF', 'мощный_ADJF', 'counter_None', 'strike_None', 'global_None', 'offensiv_None', 'единственный_ADJF', 'экземпляр_NOUN', 'категория_NOUN', 'пистолет_NOUN', 'пробивать_PRTF', 'стена_NOUN', 'первый_ADJF', 'выстрел_NOUN', 'голова_NOUN', 'убивать_VERB', 'защитить_PRTF', 'каска_NOUN', 'противник_NOUN', 'закупаться_VERB', 'частый_COMP', 'снайпер_NOUN', 'awp_None', 'поскольку_CONJ', 'очень_ADVB', 'мощный_ADJF', 'помогать_VERB', 'быстро_ADVB', 'убить_INFN', 'противник_NOUN', 'ближний_ADJF', 'дистанция_NOUN']"
3,CZ75-Auto,CZ75-Auto — первый автоматический пистолет представленный в игре Counter-Strike: Global Offensive. Взаимозаменяем в игровом магазине с Five-SeveN (спецназ) и Tec-9 (террористы).CZ75 производится в Чехословакии с 1975 года. Находится на вооружении у полиции. Существует несколько вариантов данного пистолета. CZ75-Auto разработанный для спецподразделений в 1992 году имеет возможность полностью автоматической стрельбы именно он и используется в CS:GO. В каждом магазине находится 12 патронов. Альтернативой CZ является пистолет Five-SeveN и Tec-9.,"['cz75_None', 'auto_None', 'первый_ADJF', 'автоматический_ADJF', 'пистолет_NOUN', 'представить_PRTF', 'игра_NOUN', 'counter_None', 'strike_None', 'global_None', 'offensive_None', 'взаимозаменяемый_ADJS', 'игровой_ADJF', 'магазин_NOUN', 'five_None', 'seven_None', 'спецназ_NOUN', 'tec_None', '9_None', 'террорист_NOUN', 'cz75_None', 'производиться_VERB', 'чехословакия_NOUN', '1975_None', 'год_NOUN', 'находиться_VERB', 'вооружение_NOUN', 'полиция_NOUN', 'существовать_VERB', 'несколько_ADVB', 'вариант_NOUN', 'данный_ADJF', 'пистолет_NOUN', 'cz75_None', 'auto_None', 'разработать_PRTF', 'спецподразделение_NOUN', '1992_None', 'год_NOUN', 'иметь_VERB', 'возможность_NOUN', 'полностью_ADVB', 'автоматический_ADJF', 'стрельба_NOUN', 'именно_PRCL', 'использоваться_VERB', 'cs_None', 'go_None', 'каждый_ADJF', 'магазин_NOUN', 'находиться_VERB', '12_None', 'патрон_NOUN', 'альтернатива_NOUN', 'cz_None', 'являться_VERB', 'пистолет_NOUN', 'five_None', 'seven_None', 'tec_None', '9_None']"
4,Nova,Nova — помповый дробовик в Counter-Strike: Global Offensive. Он заменяет M3 из ранних версий Counter-Strike.Этот итальянский дробовик имеет в себе 8 патронов 12-ого калибра и 32 патрона в резерве. Nova может быть приобретена как и спецназом так и террористами. Темп стрельбы Новы чуть ниже чем у M3 что компенсируется большим уроном.,"['nova_None', 'помповый_ADJF', 'дробовик_NOUN', 'counter_None', 'strike_None', 'global_None', 'offensive_None', 'заменять_VERB', 'm3_None', 'ранний_ADJF', 'версия_NOUN', 'counter_None', 'strike_None', 'итальянский_ADJF', 'дробовик_NOUN', 'иметь_VERB', '8_None', 'патрон_NOUN', '12_None', 'ого_INTJ', 'калибр_NOUN', '32_None', 'патрон_NOUN', 'резерв_NOUN', 'nova_None', 'мочь_VERB', 'приобрести_PRTS', 'спецназ_NOUN', 'террорист_NOUN', 'темп_NOUN', 'стрельба_NOUN', 'новый_ADJS', 'ниже_PREP', 'm3_None', 'компенсироваться_VERB', 'больший_ADJF', 'урон_NOUN']"
5,MAG-7,MAG-7 — помповый дробовик в Counter-Strike: Global Offensive. Находится на вооружении только у спецназа.MAG-7 производится в ЮАР компанией Arms PTY. Он имеет магазин на 5 патронов калибра 12х60 мм. Является одним из самых популярных дробовиков в CS:GO. Ружьё имеет короткий ствол и магазины в качестве боеприпасов что позволяет экономить кучу времени на перезарядку. Всего в запасе 32 патрона. Данный дробовик наносит огромный урон в упор он более точен чем другие дробовики. Кроме этого он может спокойно убить на средне-близком расстоянии когда Nova уже не способна на это. Дробовик имеет низкую скорострельность и нельзя заряжать по одному патрону как у других дробовиков. Только магазином.,"['mag_None', '7_None', 'помповый_ADJF', 'дробовик_NOUN', 'counter_None', 'strike_None', 'global_None', 'offensive_None', 'находиться_VERB', 'вооружение_NOUN', 'спецназ_NOUN', 'mag_None', '7_None', 'производиться_VERB', 'юар_NOUN', 'компания_NOUN', 'arms_None', 'pty_None', 'иметь_VERB', 'магазин_NOUN', '5_None', 'патрон_NOUN', 'калибр_NOUN', '12х60_None', 'мм_INTJ', 'являться_VERB', 'самый_ADJF', 'популярный_ADJF', 'дробовик_NOUN', 'cs_None', 'go_None', 'ружьё_NOUN', 'иметь_VERB', 'короткий_ADJF', 'ствол_NOUN', 'магазин_NOUN', 'качество_NOUN', 'боеприпас_NOUN', 'позволять_VERB', 'экономить_INFN', 'куча_NOUN', 'время_NOUN', 'перезарядка_NOUN', 'весь_ADJF', 'запас_NOUN', '32_None', 'патрон_NOUN', 'данный_ADJF', 'дробовик_NOUN', 'наносить_VERB', 'огромный_ADJF', 'урон_NOUN', 'упор_NOUN', 'точный_ADJS', 'дробовик_NOUN', 'кроме_PREP', 'это_NPRO', 'мочь_VERB', 'спокойно_ADVB', 'убить_INFN', 'средне_ADVB', 'близкий_ADJF', 'расстояние_NOUN', 'nova_None', 'способный_ADJS', 'это_PRCL', 'дробовик_NOUN', 'иметь_VERB', 'низкий_ADJF', 'скорострельность_NOUN', 'заряжать_INFN', 'патрон_NOUN', 'дробовик_NOUN', 'магазин_NOUN']"
6,Sawed-Off,Sawed-Off — помповый дробовик в Counter-Strike: Global Offensive. Находится на вооружении только у террористов.Sawed-Off является модифицированной версией дробовика Remington 870 с обрезанным прикладом. У данного дробовика имеется 7 патронов-картечи 12-го калибра и 32 в резерве. Он наносит огромный урон и убивает с одного выстрела вблизи на средних дистанциях достаточно 2-3 выстрела чтобы противник был убит.,"['sawed_None', 'off_None', 'помповый_ADJF', 'дробовик_NOUN', 'counter_None', 'strike_None', 'global_None', 'offensive_None', 'находиться_VERB', 'вооружение_NOUN', 'террорист_NOUN', 'sawed_None', 'off_None', 'являться_VERB', 'модифицированный_ADJF', 'версия_NOUN', 'дробовик_NOUN', 'remington_None', '870_None', 'обрезать_PRTF', 'приклад_NOUN', 'данный_ADJF', 'дробовик_NOUN', 'иметься_VERB', '7_None', 'патрон_NOUN', 'картечь_NOUN', '12_None', 'го_NOUN', 'калибр_NOUN', '32_None', 'резерв_NOUN', 'наносить_VERB', 'огромный_ADJF', 'урон_NOUN', 'убивать_VERB', 'выстрел_NOUN', 'вблизи_PREP', 'средний_ADJF', 'дистанция_NOUN', 'достаточно_ADVB', '2_None', '3_None', 'выстрел_NOUN', 'противник_NOUN', 'убить_PRTS']"
7,MAC-10,MAC-10 — пистолет-пулемёт в Counter-Strike: Global Offensive который могут купить только террористы.MAC-10 — пистолет-пулемёт с механизмом свободного затвора выпущенный Гордоном Ингрэмом. В игре в каждом магазине этого оружия 30 патрон калибра .45 ACP. «Мак» редко используется игроками из-за своей отдачи и неточности.,"['mac_None', '10_None', 'пистолет_NOUN', 'пулемёт_NOUN', 'counter_None', 'strike_None', 'global_None', 'offensive_None', 'который_ADJF', 'мочь_VERB', 'купить_INFN', 'террорист_NOUN', 'mac_None', '10_None', 'пистолет_NOUN', 'пулемёт_NOUN', 'механизм_NOUN', 'свободный_ADJF', 'затвор_NOUN', 'выпустить_PRTF', 'гордон_NOUN', 'ингрэм_NOUN', 'игра_NOUN', 'каждый_ADJF', 'магазин_NOUN', 'это_NPRO', 'оружие_NOUN', '30_None', 'патрон_NOUN', 'калибр_NOUN', '45_None', 'acp_None', 'мак_NOUN', 'редко_ADVB', 'использоваться_VERB', 'игрок_NOUN', 'свой_ADJF', 'отдача_NOUN', 'неточность_NOUN']"
8,MP9,MP9 — пистолет-пулемёт в Counter-Strike: Global Offensive эксклюзивный для спецназа.MP9 — швейцарский пистолет-пулемет 9мм калибра. Каждый магазин этого оружия содержит 30 патронов а в резерве — 120. Как и все другие пистолеты-пулеметы в CS:GO за убийство из MP9 его владелец получит двукратную награду — 600$ и 300$ в соревновательном и обычном режиме соответственно.,"['mp9_None', 'пистолет_NOUN', 'пулемёт_NOUN', 'counter_None', 'strike_None', 'global_None', 'offensive_None', 'эксклюзивный_ADJF', 'спецназ_NOUN', 'mp9_None', 'швейцарский_ADJF', 'пистолет_NOUN', 'пулемёт_NOUN', '9мм_None', 'калибр_NOUN', 'каждый_ADJF', 'магазин_NOUN', 'это_NPRO', 'оружие_NOUN', 'содержать_VERB', '30_None', 'патрон_NOUN', 'резерв_NOUN', '120_None', 'всё_PRCL', 'пистолет_NOUN', 'пулемёт_NOUN', 'cs_None', 'go_None', 'убийство_NOUN', 'mp9_None', 'владелец_NOUN', 'получить_VERB', 'двукратный_ADJF', 'награда_NOUN', '600_None', '300_None', 'соревновательный_ADJF', 'обычный_ADJF', 'режим_NOUN', 'соответственно_ADVB']"
9,P90,P90 — пистолет-пулемёт в Counter-Strike: Global Offensive.P90 — пистолет-пулемет бельгийского производства имеющий компоновку «булл-пап». В каждом магазине этого оружия 50 патронов калибра 5.7x28мм. Данный пистолет-пулемёт известен своей хорошо контролируемой отдачей. P90 остается точным при ходьбе владельца и длительной стрельбе одновременно. Но всё это компенсируется маленьким уроном.,"['p90_None', 'пистолет_NOUN', 'пулемёт_NOUN', 'counter_None', 'strike_None', 'global_None', 'offensive_None', 'p90_None', 'пистолет_NOUN', 'пулемёт_NOUN', 'бельгийский_ADJF', 'производство_NOUN', 'иметь_PRTF', 'компоновка_NOUN', 'булла_NOUN', 'папа_NOUN', 'каждый_ADJF', 'магазин_NOUN', 'это_NPRO', 'оружие_NOUN', '50_None', 'патрон_NOUN', 'калибр_NOUN', '5_None', '7x28мма_NOUN', 'данный_ADJF', 'пистолет_NOUN', 'пулемёт_NOUN', 'известный_ADJS', 'свой_ADJF', 'контролировать_PRTF', 'отдача_NOUN', 'p90_None', 'оставаться_VERB', 'точный_ADJF', 'ходьба_NOUN', 'владелец_NOUN', 'длительный_ADJF', 'стрельба_NOUN', 'одновременно_ADVB', 'всё_PRCL', 'это_PRCL', 'компенсироваться_VERB', 'маленький_ADJF', 'урон_NOUN']"
