,qid,url,title,desc,topic
0,267880953,https://otvet.mail.ru/question/267880953,Отдадут ли 18+ посылку на кассе 5post без паспорта?,"купил на яндекс маркете 18+ посылку, отдадут ли ее на кассе 5post без предъявления паспорта?",Товары и маркетплейсы
1,267880955,https://otvet.mail.ru/question/267880955,"Вы тоже теряетесь, когда вас закидывают названиями строительными рабочие?:)","К примеру ремонт делаете и бригада вам накидывает мдф,осб,фонера,гипса, фумка,лаги и тд и тп...Я через час уже забываю вообще, что они говорили, ведь не знаю и отличий этих вещей=) Но они отчего-то считают, что каждый должен это знать:D",Стройка и ремонт
2,267880957,https://otvet.mail.ru/question/267880957,Позвонил хороший человек.,"И стало светлей ,несмотря на пасмурную погоду.",Психология и жизнь
3,267880961,https://otvet.mail.ru/question/267880961,Если ходить в качалку и играть в футбол сложнее накачаться или легче ,Если ходить в качалку и играть в футбол сложнее накачаться или легче ,Трушный спорт
4,267880963,https://otvet.mail.ru/question/267880963,Как отключить ограничения ,"Я баловался с настройками и там по приколу выставил белый список программ. Я теперь ниче не могу даже на своей учётке сделать, я делал это на 2 учётке локальной
Помогите пж Винду сносить не варик",Просто установи
5,267880969,https://otvet.mail.ru/question/267880969,Как вам женская фигура такая по типу прямоугольник?,Как вам женская фигура такая по типу прямоугольник?,Тарелка ЗОЖ
6,267880977,https://otvet.mail.ru/question/267880977,"Почему одним мы прощаем всё, а другим-ничего?","Почему одним мы прощаем всё, а другим-ничего?",А сейчас что-то совсем другое
7,267880982,https://otvet.mail.ru/question/267880982,Не работает мышь,"установил новый кфг и после этого не смог двигать мышкой вправо и влево, пытался починить всеми возможными способами писал команды, полностью удалял кс и устанавливал новые драйвера на мышь и ничего не помогало
кому интересно ссылка на кфг 
https://steamcommunity.com/sharedfiles/filedetails/?id=3313210014",Сounter strike
8,267880990,https://otvet.mail.ru/question/267880990,Загрузка видекарты на 50% в нагрузке.,"Загрузка видеокарты GTX 970 в играх падает до 50% время от времени, из-за чего так же падает фпс в два раза. Термопасту на видеокарте менял, температура поднимается до 82 градусов. В MSI Afterburner увеличил питание вентиляторов до 110%. Процессор AMD Rysen 5 5600 грузится до 10-15%, не греется. В программе мониторинга не виден сброс частот процессора и памяти видео, если это тротлинг, но загрузка падает - это однозначно.",Собираем компьютеры
9,267880992,https://otvet.mail.ru/question/267880992,Видеокарта на 50 процентов в игре и лагает ,"привет, видеокарта мощная Rx 580 2048 ps на 16гб игры другие летают по типу метро исход атомного сердца захожу в Яндере симулятор, в игре 30-40 фпс видеокарта на 50 процентов процессор на 25-30 кстати процессор зеро e5 26-30 v2 драйверы новые вирусов нет что делать?",Собираем компьютеры
10,267880997,https://otvet.mail.ru/question/267880997,"Почему итальянцы пьют эспрессо и лунго, и со скепсисом смотрят на тех, кто пьёт американо, или другие смеси с молоком?","Почему итальянцы пьют эспрессо и лунго, и со скепсисом смотрят на тех, кто пьёт американо, или другие смеси с молоком?",Подслушано
11,267880999,https://otvet.mail.ru/question/267880999,Срочно ребят!,"Помогите найти игру
помню что на иконке игры было три фишки, сама игра была можно сказать симулятором жизни, нужно было отправлять персонажа на работу, покупать машину, новую квартиру дом, впервые я нашла ее в 2018-2019, очень понравилась, после того как слетел компьютер больше ее найти не смогла. НЕ СИМС!",Время игр
12,267881003,https://otvet.mail.ru/question/267881003,Добрый день.,на основании чего предполагаете о возможном возрасте?,А сейчас что-то совсем другое
13,267881007,https://otvet.mail.ru/question/267881007,"Стою на учёте на адн в психушке, что мне будет если я не буду ставить укол и принимать таблетки?","Стою на учёте на адн в психушке, что мне будет если я не буду ставить укол и принимать таблетки?",Болезнеборье
14,267881009,https://otvet.mail.ru/question/267881009,"Почему Рабство существовало и существует во всех английских колониях, но в различной степени ?","Почему Рабство существовало и существует во всех английских колониях, но в различной степени ?",Мир и его люди
15,267881013,https://otvet.mail.ru/question/267881013,Что значит выражение?,&#34;Наполеонова нога на четыре сапога.&#34; Услышала где-то и сейчас вспоминаю. Что оно значит? ,А сейчас что-то совсем другое
16,267881026,https://otvet.mail.ru/question/267881026,Ух ты а с каких это пор стали приходить уведомления о том что мой ответ удалили? Неужели разрабы обнову допилили? ,Ух ты а с каких это пор стали приходить уведомления о том что мой ответ удалили? Неужели разрабы обнову допилили? ,А сейчас что-то совсем другое
17,267881030,https://otvet.mail.ru/question/267881030,От чего зависит концентрация хлорида натрия в слезах?,Соленый вкус слезы зависит от концентрации хлорида натрия. А вот от чего зависит эта концентрация?,Биология
18,267881037,https://otvet.mail.ru/question/267881037,Це реальное или рофл инженеров?,Це реальное или рофл инженеров?,Завод
19,267881041,https://otvet.mail.ru/question/267881041,Аккаунт psn,"Как создать турецкий и украинский аккаунты Playstation???
Всегда выскакивают ошибки типа &#34;Время соединения истекло&#34; или &#34;Не удалось создать аккаунт свяжитесь с техподдержкой Сони&#34; 
Никакой ВПН не работает, почему непонятно, я же как типа из Турции или Украины пытаюсь создать аккаунт",Время игр
