,weapon,desc,token
0,P2000,P2000 - стартовый пистолет спецназа который имеет 13 патронов в магазине и 52 в резерве. Он был разработан компанией Heckler & Koch под пистолетные патроны 9 mm Parabellum .40 S&W. Однако в игре калибр мощнее и называется он .357 SIG.Взаимозаменяем в игровом магазине с USP-S.,"[['P2000', 'стартовый', 'пистолет', 'спецназа', 'который', 'имеет', '13', 'патронов', 'в', 'магазине', 'и', '52', 'в', 'резерве'], ['Он', 'был', 'разработан', 'компанией', 'Heckler', 'Koch', 'под', 'пистолетные', 'патроны', '9', 'mm', 'Parabellum', '40', 'S', 'W'], ['Однако', 'в', 'игре', 'калибр', 'мощнее', 'и', 'называется', 'он', '357', 'SIG', 'Взаимозаменяем', 'в', 'игровом', 'магазине', 'с', 'USP', 'S']]"
1,Glock-18,Каждая обойма Glock-18 имеет 20 патронов калибра 9мм и 120 патронов в запасе. У этого пистолета имеется 2 режима стрельбы: полуавтоматический и очереди из трех патрон. При стрельбе очередями из трех патрон отдача и разброс заметно увеличивается но всё-таки это применимо на близких дистанциях.,"[['Каждая', 'обойма', 'Glock', '18', 'имеет', '20', 'патронов', 'калибра', '9мм', 'и', '120', 'патронов', 'в', 'запасе'], ['У', 'этого', 'пистолета', 'имеется', '2', 'режима', 'стрельбы', 'полуавтоматический', 'и', 'очереди', 'из', 'трех', 'патрон'], ['При', 'стрельбе', 'очередями', 'из', 'трех', 'патрон', 'отдача', 'и', 'разброс', 'заметно', 'увеличивается', 'но', 'всё', 'таки', 'это', 'применимо', 'на', 'близких', 'дистанциях']]"
2,Desert Eagle,Desert Eagle — самый мощный пистолет в серии игр Counter-Strike и один из самых мощных в Counter-Strike: Global Offensiv.Единственный экземпляр из категории «Пистолеты» пробивающий стены. С первого выстрела в голову убивает даже защищённого каской противника. Закупается чаще снайперами с AWP поскольку очень мощный и помогает быстро убить противника на ближних дистанциях.,"[['Desert', 'Eagle', 'самый', 'мощный', 'пистолет', 'в', 'серии', 'игр', 'Counter', 'Strike', 'и', 'один', 'из', 'самых', 'мощных', 'в', 'Counter', 'Strike', 'Global', 'Offensiv', 'Единственный', 'экземпляр', 'из', 'категории', 'Пистолеты', 'пробивающий', 'стены'], ['С', 'первого', 'выстрела', 'в', 'голову', 'убивает', 'даже', 'защищённого', 'каской', 'противника'], ['Закупается', 'чаще', 'снайперами', 'с', 'AWP', 'поскольку', 'очень', 'мощный', 'и', 'помогает', 'быстро', 'убить', 'противника', 'на', 'ближних', 'дистанциях']]"
3,CZ75-Auto,CZ75-Auto — первый автоматический пистолет представленный в игре Counter-Strike: Global Offensive. Взаимозаменяем в игровом магазине с Five-SeveN (спецназ) и Tec-9 (террористы).CZ75 производится в Чехословакии с 1975 года. Находится на вооружении у полиции. Существует несколько вариантов данного пистолета. CZ75-Auto разработанный для спецподразделений в 1992 году имеет возможность полностью автоматической стрельбы именно он и используется в CS:GO. В каждом магазине находится 12 патронов. Альтернативой CZ является пистолет Five-SeveN и Tec-9.,"[['CZ75', 'Auto', 'первый', 'автоматический', 'пистолет', 'представленный', 'в', 'игре', 'Counter', 'Strike', 'Global', 'Offensive'], ['Взаимозаменяем', 'в', 'игровом', 'магазине', 'с', 'Five', 'SeveN', 'спецназ', 'и', 'Tec', '9', 'террористы', 'CZ75', 'производится', 'в', 'Чехословакии', 'с', '1975', 'года'], ['Находится', 'на', 'вооружении', 'у', 'полиции'], ['Существует', 'несколько', 'вариантов', 'данного', 'пистолета'], ['CZ75', 'Auto', 'разработанный', 'для', 'спецподразделений', 'в', '1992', 'году', 'имеет', 'возможность', 'полностью', 'автоматической', 'стрельбы', 'именно', 'он', 'и', 'используется', 'в', 'CS', 'GO'], ['В', 'каждом', 'магазине', 'находится', '12', 'патронов'], ['Альтернативой', 'CZ', 'является', 'пистолет', 'Five', 'SeveN', 'и', 'Tec', '9']]"
4,Nova,Nova — помповый дробовик в Counter-Strike: Global Offensive. Он заменяет M3 из ранних версий Counter-Strike.Этот итальянский дробовик имеет в себе 8 патронов 12-ого калибра и 32 патрона в резерве. Nova может быть приобретена как и спецназом так и террористами. Темп стрельбы Новы чуть ниже чем у M3 что компенсируется большим уроном.,"[['Nova', 'помповый', 'дробовик', 'в', 'Counter', 'Strike', 'Global', 'Offensive'], ['Он', 'заменяет', 'M3', 'из', 'ранних', 'версий', 'Counter', 'Strike', 'Этот', 'итальянский', 'дробовик', 'имеет', 'в', 'себе', '8', 'патронов', '12', 'ого', 'калибра', 'и', '32', 'патрона', 'в', 'резерве'], ['Nova', 'может', 'быть', 'приобретена', 'как', 'и', 'спецназом', 'так', 'и', 'террористами'], ['Темп', 'стрельбы', 'Новы', 'чуть', 'ниже', 'чем', 'у', 'M3', 'что', 'компенсируется', 'большим', 'уроном']]"
5,MAG-7,MAG-7 — помповый дробовик в Counter-Strike: Global Offensive. Находится на вооружении только у спецназа.MAG-7 производится в ЮАР компанией Arms PTY. Он имеет магазин на 5 патронов калибра 12х60 мм. Является одним из самых популярных дробовиков в CS:GO. Ружьё имеет короткий ствол и магазины в качестве боеприпасов что позволяет экономить кучу времени на перезарядку. Всего в запасе 32 патрона. Данный дробовик наносит огромный урон в упор он более точен чем другие дробовики. Кроме этого он может спокойно убить на средне-близком расстоянии когда Nova уже не способна на это. Дробовик имеет низкую скорострельность и нельзя заряжать по одному патрону как у других дробовиков. Только магазином.,"[['MAG', '7', 'помповый', 'дробовик', 'в', 'Counter', 'Strike', 'Global', 'Offensive'], ['Находится', 'на', 'вооружении', 'только', 'у', 'спецназа', 'MAG', '7', 'производится', 'в', 'ЮАР', 'компанией', 'Arms', 'PTY'], ['Он', 'имеет', 'магазин', 'на', '5', 'патронов', 'калибра', '12х60', 'мм'], ['Является', 'одним', 'из', 'самых', 'популярных', 'дробовиков', 'в', 'CS', 'GO'], ['Ружьё', 'имеет', 'короткий', 'ствол', 'и', 'магазины', 'в', 'качестве', 'боеприпасов', 'что', 'позволяет', 'экономить', 'кучу', 'времени', 'на', 'перезарядку'], ['Всего', 'в', 'запасе', '32', 'патрона'], ['Данный', 'дробовик', 'наносит', 'огромный', 'урон', 'в', 'упор', 'он', 'более', 'точен', 'чем', 'другие', 'дробовики'], ['Кроме', 'этого', 'он', 'может', 'спокойно', 'убить', 'на', 'средне', 'близком', 'расстоянии', 'когда', 'Nova', 'уже', 'не', 'способна', 'на', 'это'], ['Дробовик', 'имеет', 'низкую', 'скорострельность', 'и', 'нельзя', 'заряжать', 'по', 'одному', 'патрону', 'как', 'у', 'других', 'дробовиков'], ['Только', 'магазином']]"
6,Sawed-Off,Sawed-Off — помповый дробовик в Counter-Strike: Global Offensive. Находится на вооружении только у террористов.Sawed-Off является модифицированной версией дробовика Remington 870 с обрезанным прикладом. У данного дробовика имеется 7 патронов-картечи 12-го калибра и 32 в резерве. Он наносит огромный урон и убивает с одного выстрела вблизи на средних дистанциях достаточно 2-3 выстрела чтобы противник был убит.,"[['Sawed', 'Off', 'помповый', 'дробовик', 'в', 'Counter', 'Strike', 'Global', 'Offensive'], ['Находится', 'на', 'вооружении', 'только', 'у', 'террористов', 'Sawed', 'Off', 'является', 'модифицированной', 'версией', 'дробовика', 'Remington', '870', 'с', 'обрезанным', 'прикладом'], ['У', 'данного', 'дробовика', 'имеется', '7', 'патронов', 'картечи', '12', 'го', 'калибра', 'и', '32', 'в', 'резерве'], ['Он', 'наносит', 'огромный', 'урон', 'и', 'убивает', 'с', 'одного', 'выстрела', 'вблизи', 'на', 'средних', 'дистанциях', 'достаточно', '2', '3', 'выстрела', 'чтобы', 'противник', 'был', 'убит']]"
7,MAC-10,MAC-10 — пистолет-пулемёт в Counter-Strike: Global Offensive который могут купить только террористы.MAC-10 — пистолет-пулемёт с механизмом свободного затвора выпущенный Гордоном Ингрэмом. В игре в каждом магазине этого оружия 30 патрон калибра .45 ACP. «Мак» редко используется игроками из-за своей отдачи и неточности.,"[['MAC', '10', 'пистолет', 'пулемёт', 'в', 'Counter', 'Strike', 'Global', 'Offensive', 'который', 'могут', 'купить', 'только', 'террористы', 'MAC', '10', 'пистолет', 'пулемёт', 'с', 'механизмом', 'свободного', 'затвора', 'выпущенный', 'Гордоном', 'Ингрэмом'], ['В', 'игре', 'в', 'каждом', 'магазине', 'этого', 'оружия', '30', 'патрон', 'калибра', '45', 'ACP'], ['Мак', 'редко', 'используется', 'игроками', 'из', 'за', 'своей', 'отдачи', 'и', 'неточности']]"
8,MP9,MP9 — пистолет-пулемёт в Counter-Strike: Global Offensive эксклюзивный для спецназа.MP9 — швейцарский пистолет-пулемет 9мм калибра. Каждый магазин этого оружия содержит 30 патронов а в резерве — 120. Как и все другие пистолеты-пулеметы в CS:GO за убийство из MP9 его владелец получит двукратную награду — 600$ и 300$ в соревновательном и обычном режиме соответственно.,"[['MP9', 'пистолет', 'пулемёт', 'в', 'Counter', 'Strike', 'Global', 'Offensive', 'эксклюзивный', 'для', 'спецназа', 'MP9', 'швейцарский', 'пистолет', 'пулемет', '9мм', 'калибра'], ['Каждый', 'магазин', 'этого', 'оружия', 'содержит', '30', 'патронов', 'а', 'в', 'резерве', '120'], ['Как', 'и', 'все', 'другие', 'пистолеты', 'пулеметы', 'в', 'CS', 'GO', 'за', 'убийство', 'из', 'MP9', 'его', 'владелец', 'получит', 'двукратную', 'награду', '600', 'и', '300', 'в', 'соревновательном', 'и', 'обычном', 'режиме', 'соответственно']]"
9,P90,P90 — пистолет-пулемёт в Counter-Strike: Global Offensive.P90 — пистолет-пулемет бельгийского производства имеющий компоновку «булл-пап». В каждом магазине этого оружия 50 патронов калибра 5.7x28мм. Данный пистолет-пулемёт известен своей хорошо контролируемой отдачей. P90 остается точным при ходьбе владельца и длительной стрельбе одновременно. Но всё это компенсируется маленьким уроном.,"[['P90', 'пистолет', 'пулемёт', 'в', 'Counter', 'Strike', 'Global', 'Offensive', 'P90', 'пистолет', 'пулемет', 'бельгийского', 'производства', 'имеющий', 'компоновку', 'булл', 'пап'], ['В', 'каждом', 'магазине', 'этого', 'оружия', '50', 'патронов', 'калибра', '5', '7x28мм'], ['Данный', 'пистолет', 'пулемёт', 'известен', 'своей', 'хорошо', 'контролируемой', 'отдачей'], ['P90', 'остается', 'точным', 'при', 'ходьбе', 'владельца', 'и', 'длительной', 'стрельбе', 'одновременно'], ['Но', 'всё', 'это', 'компенсируется', 'маленьким', 'уроном']]"
