#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Дио Брандо из аниме "Невероятные приключения ДжоДжо".
1-1	0-3	Дио	_	
1-2	4-10	Брандо	_	
1-3	11-13	из	_	
1-4	14-19	аниме	_	
1-5	20-21	"	_	
1-6	21-32	Невероятные	_	
1-7	33-44	приключения	_	
1-8	45-51	ДжоДжо	_	
1-9	51-52	"	_	
1-10	52-53	.	_	

#Text=У него светлые волосы и мускулистое тело.
2-1	54-55	У	_	
2-2	56-60	него	_	
2-3	61-68	светлые	hairstyle	
2-4	69-75	волосы	_	
2-5	76-77	и	_	
2-6	78-89	мускулистое	body type	
2-7	90-94	тело	_	
2-8	94-95	.	_	

#Text=Губы его зелёные, а сам он одет в брюки с подтяжками, на поясе видно зелёное сердце.
3-1	96-100	Губы	face[1]	
3-2	101-104	его	face[1]	
3-3	105-112	зелёные	face[1]	
3-4	112-113	,	_	
3-5	114-115	а	_	
3-6	116-119	сам	_	
3-7	120-122	он	_	
3-8	123-127	одет	_	
3-9	128-129	в	_	
3-10	130-135	брюки	Characteristic element of clothing[2]	
3-11	136-137	с	Characteristic element of clothing[2]	
3-12	138-148	подтяжками	Characteristic element of clothing[2]	
3-13	148-149	,	_	
3-14	150-152	на	_	
3-15	153-158	поясе	Characteristic element of clothing	
3-16	159-164	видно	_	
3-17	165-172	зелёное	Characteristic element of clothing[3]	
3-18	173-179	сердце	Characteristic element of clothing[3]	
3-19	179-180	.	_	

#Text=Характерная для него фраза это "The World.
4-1	181-192	Характерная	_	
4-2	193-196	для	_	
4-3	197-201	него	_	
4-4	202-207	фраза	_	
4-5	208-211	это	_	
4-6	212-213	"	_	
4-7	213-216	The	Characteristic-phrase[4]	
4-8	217-222	World	Characteristic-phrase[4]	
4-9	222-223	.	Characteristic-phrase[4]	

#Text=Время остановись", что является призывом его стенда.
5-1	224-229	Время	Characteristic-phrase[5]	
5-2	230-240	остановись	Characteristic-phrase[5]	
5-3	240-241	"	_	
5-4	241-242	,	_	
5-5	243-246	что	_	
5-6	247-255	является	_	
5-7	256-264	призывом	_	
5-8	265-268	его	_	
5-9	269-275	стенда	_	
5-10	275-276	.	_	
