event_id,canonical_name_ru,canonical_name_en,date_iso_approx,aliases_ru,notes
evt_city_founded_1703,Основание Санкт-Петербурга,Foundation of Saint Petersburg,1703,,Связь с Петропавловской крепостью и Адмиралтейством
evt_capital_moves_1712_1918,Столица Российской империи,Russian imperial capital Saint Petersburg,1712/1728,,Период «столицы» уточняйте при разметке датами
evt_peterhof_founded_1714,Развитие загородной резиденции Петербурга в Петергофе,Development of Peterhof residence,1714,,Опорное событие для Большого дворца
evt_tsarskoye_palace_1752,Расширение Екатерининского дворца в Царском Селе,Expansion of Catherine Palace,1752,,Рококо-этап; границы факта уточнять по тексту
evt_bronze_horse_unveiled_1782,Открытие памятника «Медному всаднику»,Bronze Horseman unveiled,1782,,Скульптор Фальконе
evt_savior_blood_site_1881,Покушение на императора Александра II 1 марта 1881 года,Assassination of Alexander II,1881-03-13,,Якорное событие для Спас на Крови
evt_october_storm_winter_1917,Штурм Зимнего октябрем 1917 года,October storming of Winter Palace,1917,,Событие связывают с Эрмитажем и площадью
evt_aurora_blank_1917,Выстрел «Авроры» как сигнал к штурму,Aurora blank shot signal,1917-10-25,,Дата по юлианскому календарю может отличаться в источниках
evt_siege_leningrad_1941_1944,Блокада Ленинграда,Siege of Leningrad,1941/1944,,Относится к многим локациям города M:N
evt_peterhof_destroy_ww2_1944,Разрушения Петергофского дворца в годы Великой Отечественной войны,WWII destruction at Peterhof,1944,,Реставрационный контекст
evt_catherine_amber_room_1941,Вывоз Янтарной комнаты в годы войны,Amber Room evacuation WWII,1941,,Неоднозначность — отмечать в note
evt_hermitage_fire_1837,Пожар в Зимнем дворце 1837 года,Winter Palace fire 1837,1837,,Связь с Эрмитажем
evt_decembrists_1825,Восстание декабристов на Сенатской площади,Decembrist revolt,1825-12-26,,Возможна связь с Сенатской площадью как PLACE
evt_kazan_victory_1812,Молебен и парад после Отечественной войны 1812 года,Post–1812 war thanksgiving Kazan Cathedral,1812,,Типичный экскурсионный нарратив
evt_kunstkamera_open_1714_1727,Открытие первого публичного музея (Кунсткамеры),Opening of Kunstkamera as public museum,1727,,При необходимости выделить landmark «Кунсткамера» отдельно
evt_eremitage_found_1764,Официально принятая дата основания Эрмитажа как коллекции,Hermitage collection foundation year,1764,,Екатерина II
evt_st_isaac_completed_1858,Освящение современного Исаакиевского собора,Consecration of St Isaac Cathedral,1858,,Строительный период 1818–1858
