audio_id,audio_filename,audio_abs_path,doc_id,landmark_id,text_relpath,duration_sec,textgrid_relpath,alignment_method
aud_admiralty_02,Адмиралтейство 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Адмиралтейство 2.m4a,doc_land_admiralty_02,land_admiralty,raw/text/doc_land_admiralty_02.txt,18.986,annotations/audio/textgrid/doc_land_admiralty_02.TextGrid,proportional_char_alignment_v1
aud_admiralty_01,Главное Адмиралтейство 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Главное Адмиралтейство 1.m4a,doc_land_admiralty_01,land_admiralty,raw/text/doc_land_admiralty_01.txt,17.621,annotations/audio/textgrid/doc_land_admiralty_01.TextGrid,proportional_char_alignment_v1
aud_palace_square_01,Дворцовая площадь 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Дворцовая площадь 1.m4a,doc_land_palace_square_01,land_palace_square,raw/text/doc_land_palace_square_01.txt,15.274,annotations/audio/textgrid/doc_land_palace_square_01.TextGrid,proportional_char_alignment_v1
aud_palace_square_02,Дворцовая площадь 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Дворцовая площадь 2.m4a,doc_land_palace_square_02,land_palace_square,raw/text/doc_land_palace_square_02.txt,20.864,annotations/audio/textgrid/doc_land_palace_square_02.TextGrid,proportional_char_alignment_v1
aud_catherine_palace_01,Екатерининский дворец 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Екатерининский дворец 1.m4a,doc_land_catherine_palace_01,land_catherine_palace,raw/text/doc_land_catherine_palace_01.txt,14.954,annotations/audio/textgrid/doc_land_catherine_palace_01.TextGrid,proportional_char_alignment_v1
aud_catherine_palace_02,Екатерининский дворец 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Екатерининский дворец 2.m4a,doc_land_catherine_palace_02,land_catherine_palace,raw/text/doc_land_catherine_palace_02.txt,22.208,annotations/audio/textgrid/doc_land_catherine_palace_02.TextGrid,proportional_char_alignment_v1
aud_isaak_02,Исаакиевский 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Исаакиевский 2.m4a,doc_land_isaak_02,land_isaak,raw/text/doc_land_isaak_02.txt,14.400,annotations/audio/textgrid/doc_land_isaak_02.TextGrid,proportional_char_alignment_v1
aud_isaak_01,Исаакиевский собор 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Исаакиевский собор 1.m4a,doc_land_isaak_01,land_isaak,raw/text/doc_land_isaak_01.txt,19.690,annotations/audio/textgrid/doc_land_isaak_01.TextGrid,proportional_char_alignment_v1
aud_kazan_cathedral_01,Казанский собор 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Казанский собор 1.m4a,doc_land_kazan_cathedral_01,land_kazan_cathedral,raw/text/doc_land_kazan_cathedral_01.txt,17.941,annotations/audio/textgrid/doc_land_kazan_cathedral_01.TextGrid,proportional_char_alignment_v1
aud_kazan_cathedral_02,Казанский собор 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Казанский собор 2.m4a,doc_land_kazan_cathedral_02,land_kazan_cathedral,raw/text/doc_land_kazan_cathedral_02.txt,17.962,annotations/audio/textgrid/doc_land_kazan_cathedral_02.TextGrid,proportional_char_alignment_v1
aud_aurora_01,Крейсер Аврора 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Крейсер Аврора 1.m4a,doc_land_aurora_01,land_aurora,raw/text/doc_land_aurora_01.txt,16.896,annotations/audio/textgrid/doc_land_aurora_01.TextGrid,proportional_char_alignment_v1
aud_aurora_02,Крейсер Аврора.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Крейсер Аврора.m4a,doc_land_aurora_02,land_aurora,raw/text/doc_land_aurora_02.txt,21.269,annotations/audio/textgrid/doc_land_aurora_02.TextGrid,proportional_char_alignment_v1
aud_summer_garden_01,Летний сад 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Летний сад 1.m4a,doc_land_summer_garden_01,land_summer_garden,raw/text/doc_land_summer_garden_01.txt,17.472,annotations/audio/textgrid/doc_land_summer_garden_01.TextGrid,proportional_char_alignment_v1
aud_summer_garden_02,Летний сад 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Летний сад 2.m4a,doc_land_summer_garden_02,land_summer_garden,raw/text/doc_land_summer_garden_02.txt,8.576,annotations/audio/textgrid/doc_land_summer_garden_02.TextGrid,proportional_char_alignment_v1
aud_mariinsky_02,Мариинский театр 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Мариинский театр 2.m4a,doc_land_mariinsky_02,land_mariinsky,raw/text/doc_land_mariinsky_02.txt,15.573,annotations/audio/textgrid/doc_land_mariinsky_02.TextGrid,proportional_char_alignment_v1
aud_mariinsky_01,Маринский театр 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Маринский театр 1.m4a,doc_land_mariinsky_01,land_mariinsky,raw/text/doc_land_mariinsky_01.txt,22.762,annotations/audio/textgrid/doc_land_mariinsky_01.TextGrid,proportional_char_alignment_v1
aud_bronze_horseman_01,Медный всадник 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Медный всадник 1.m4a,doc_land_bronze_horseman_01,land_bronze_horseman,raw/text/doc_land_bronze_horseman_01.txt,18.858,annotations/audio/textgrid/doc_land_bronze_horseman_01.TextGrid,proportional_char_alignment_v1
aud_bronze_horseman_02,Медный всадник 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Медный всадник 2.m4a,doc_land_bronze_horseman_02,land_bronze_horseman,raw/text/doc_land_bronze_horseman_02.txt,17.600,annotations/audio/textgrid/doc_land_bronze_horseman_02.TextGrid,proportional_char_alignment_v1
aud_peterhof_palace_01,Петергоф 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Петергоф 1.m4a,doc_land_peterhof_palace_01,land_peterhof_palace,raw/text/doc_land_peterhof_palace_01.txt,17.941,annotations/audio/textgrid/doc_land_peterhof_palace_01.TextGrid,proportional_char_alignment_v1
aud_peterhof_palace_02,Петергоф 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Петергоф 2.m4a,doc_land_peterhof_palace_02,land_peterhof_palace,raw/text/doc_land_peterhof_palace_02.txt,17.514,annotations/audio/textgrid/doc_land_peterhof_palace_02.TextGrid,proportional_char_alignment_v1
aud_peterpaul_01,Петропавловская крепость 1.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Петропавловская крепость 1.m4a,doc_land_peterpaul_01,land_peterpaul,raw/text/doc_land_peterpaul_01.txt,12.800,annotations/audio/textgrid/doc_land_peterpaul_01.TextGrid,proportional_char_alignment_v1
aud_peterpaul_02,Петропавловская крепость 2.m4a,/Users/annaleo97/Google Drive/Мой диск/Разметка данных аудио СРОД/Петропавловская крепость 2.m4a,doc_land_peterpaul_02,land_peterpaul,raw/text/doc_land_peterpaul_02.txt,17.877,annotations/audio/textgrid/doc_land_peterpaul_02.TextGrid,proportional_char_alignment_v1
