#FORMAT=WebAnno TSV 3.3


#Text=Одинокая птица ты летишь высоко В антрацитовом небе безлунных ночей, Повергая в смятенье бродяг и собак Красотой и размахом крылатых плечей У тебя нет птенцов, у тебя нет гнезда.
1-1	0-8	Одинокая	
1-2	9-14	птица	
1-3	15-17	ты	
1-4	18-24	летишь	
1-5	25-31	высоко	
1-6	32-33	В	
1-7	34-46	антрацитовом	
1-8	47-51	небе	
1-9	52-61	безлунных	
1-10	62-67	ночей	
1-11	67-68	,	
1-12	69-77	Повергая	
1-13	78-79	в	
1-14	80-88	смятенье	
1-15	89-95	бродяг	
1-16	96-97	и	
1-17	98-103	собак	
1-18	104-112	Красотой	
1-19	113-114	и	
1-20	115-123	размахом	
1-21	124-132	крылатых	
1-22	133-139	плечей	
1-23	140-141	У	
1-24	142-146	тебя	
1-25	147-150	нет	
1-26	151-158	птенцов	
1-27	158-159	,	
1-28	160-161	у	
1-29	162-166	тебя	
1-30	167-170	нет	
1-31	171-177	гнезда	
1-32	177-178	.	

#Text=Тебя манит незримая миру звезда.
2-1	179-183	Тебя	
2-2	184-189	манит	
2-3	190-198	незримая	
2-4	199-203	миру	
2-5	204-210	звезда	
2-6	210-211	.	

#Text=А в глазах у тебя неземная печаль.
3-1	212-213	А	
3-2	214-215	в	
3-3	216-222	глазах	
3-4	223-224	у	
3-5	225-229	тебя	
3-6	230-238	неземная	
3-7	239-245	печаль	
3-8	245-246	.	

#Text=Ты сильная птица но мне тебя жаль.
4-1	247-249	Ты	
4-2	250-257	сильная	
4-3	258-263	птица	
4-4	264-266	но	
4-5	267-270	мне	
4-6	271-275	тебя	
4-7	276-280	жаль	
4-8	280-281	.	

#Text=Припев: Одинокая птица ты летаешь высоко И лишь безумец был способен так влюбиться За тобою вслед подняться, За тобою вслед подняться Чтобы вместе нам с тобой Разбиться С тобою вместе С тобою вместе С тобою вместе С тобою вместе Черный ангел печали, давай отдохнем, Посидим на ветвях, помолчим в тишине.
5-1	282-288	Припев	
5-2	288-289	:	
5-3	290-298	Одинокая	
5-4	299-304	птица	
5-5	305-307	ты	
5-6	308-315	летаешь	
5-7	316-322	высоко	
5-8	323-324	И	
5-9	325-329	лишь	
5-10	330-337	безумец	
5-11	338-341	был	
5-12	342-350	способен	
5-13	351-354	так	
5-14	355-364	влюбиться	
5-15	365-367	За	
5-16	368-373	тобою	
5-17	374-379	вслед	
5-18	380-389	подняться	
5-19	389-390	,	
5-20	391-393	За	
5-21	394-399	тобою	
5-22	400-405	вслед	
5-23	406-415	подняться	
5-24	416-421	Чтобы	
5-25	422-428	вместе	
5-26	429-432	нам	
5-27	433-434	с	
5-28	435-440	тобой	
5-29	441-450	Разбиться	
5-30	451-452	С	
5-31	453-458	тобою	
5-32	459-465	вместе	
5-33	466-467	С	
5-34	468-473	тобою	
5-35	474-480	вместе	
5-36	481-482	С	
5-37	483-488	тобою	
5-38	489-495	вместе	
5-39	496-497	С	
5-40	498-503	тобою	
5-41	504-510	вместе	
5-42	511-517	Черный	
5-43	518-523	ангел	
5-44	524-530	печали	
5-45	530-531	,	
5-46	532-537	давай	
5-47	538-546	отдохнем	
5-48	546-547	,	
5-49	548-555	Посидим	
5-50	556-558	на	
5-51	559-565	ветвях	
5-52	565-566	,	
5-53	567-575	помолчим	
5-54	576-577	в	
5-55	578-584	тишине	
5-56	584-585	.	

#Text=Что на небе такого, что стоит того, Чтобы рухнуть на камни тебе или мне.
6-1	586-589	Что	
6-2	590-592	на	
6-3	593-597	небе	
6-4	598-604	такого	
6-5	604-605	,	
6-6	606-609	что	
6-7	610-615	стоит	
6-8	616-620	того	
6-9	620-621	,	
6-10	622-627	Чтобы	
6-11	628-635	рухнуть	
6-12	636-638	на	
6-13	639-644	камни	
6-14	645-649	тебе	
6-15	650-653	или	
6-16	654-657	мне	
6-17	657-658	.	

#Text=Припев: Одинокая птица ты летаешь высоко И лишь безумец был способен так влюбиться За тобою вслед подняться, За тобою вслед подняться Чтобы вместе нам с тобой Разбиться С тобою вместе С тобою вместе С тобою вместе С тобою вместе
7-1	659-665	Припев	
7-2	665-666	:	
7-3	667-675	Одинокая	
7-4	676-681	птица	
7-5	682-684	ты	
7-6	685-692	летаешь	
7-7	693-699	высоко	
7-8	700-701	И	
7-9	702-706	лишь	
7-10	707-714	безумец	
7-11	715-718	был	
7-12	719-727	способен	
7-13	728-731	так	
7-14	732-741	влюбиться	
7-15	742-744	За	
7-16	745-750	тобою	
7-17	751-756	вслед	
7-18	757-766	подняться	
7-19	766-767	,	
7-20	768-770	За	
7-21	771-776	тобою	
7-22	777-782	вслед	
7-23	783-792	подняться	
7-24	793-798	Чтобы	
7-25	799-805	вместе	
7-26	806-809	нам	
7-27	810-811	с	
7-28	812-817	тобой	
7-29	818-827	Разбиться	
7-30	828-829	С	
7-31	830-835	тобою	
7-32	836-842	вместе	
7-33	843-844	С	
7-34	845-850	тобою	
7-35	851-857	вместе	
7-36	858-859	С	
7-37	860-865	тобою	
7-38	866-872	вместе	
7-39	873-874	С	
7-40	875-880	тобою	
7-41	881-887	вместе	
