#FORMAT=WebAnno TSV 3.3


#Text=Белый снег, серый лед, на растрескавшейся земле.
1-1	0-5	Белый	
1-2	6-10	снег	
1-3	10-11	,	
1-4	12-17	серый	
1-5	18-21	лед	
1-6	21-22	,	
1-7	23-25	на	
1-8	26-41	растрескавшейся	
1-9	42-47	земле	
1-10	47-48	.	

#Text=Одеялом лоскутным на ней – город в дорожной петле.
2-1	49-56	Одеялом	
2-2	57-66	лоскутным	
2-3	67-69	на	
2-4	70-73	ней	
2-5	74-75	–	
2-6	76-81	город	
2-7	82-83	в	
2-8	84-92	дорожной	
2-9	93-98	петле	
2-10	98-99	.	

#Text=А над городом плывут облака, закрывая небесный свет.
3-1	100-101	А	
3-2	102-105	над	
3-3	106-113	городом	
3-4	114-120	плывут	
3-5	121-127	облака	
3-6	127-128	,	
3-7	129-137	закрывая	
3-8	138-146	небесный	
3-9	147-151	свет	
3-10	151-152	.	

#Text=А над городом – желтый дым, городу две тысячи лет, Прожитых под светом Звезды по имени Солнце… И две тысячи лет – война, война без особых причин.
4-1	153-154	А	
4-2	155-158	над	
4-3	159-166	городом	
4-4	167-168	–	
4-5	169-175	желтый	
4-6	176-179	дым	
4-7	179-180	,	
4-8	181-187	городу	
4-9	188-191	две	
4-10	192-198	тысячи	
4-11	199-202	лет	
4-12	202-203	,	
4-13	204-212	Прожитых	
4-14	213-216	под	
4-15	217-223	светом	
4-16	224-230	Звезды	
4-17	231-233	по	
4-18	234-239	имени	
4-19	240-246	Солнце	
4-20	246-247	…	
4-21	248-249	И	
4-22	250-253	две	
4-23	254-260	тысячи	
4-24	261-264	лет	
4-25	265-266	–	
4-26	267-272	война	
4-27	272-273	,	
4-28	274-279	война	
4-29	280-283	без	
4-30	284-290	особых	
4-31	291-297	причин	
4-32	297-298	.	

#Text=Война – дело молодых, лекарство против морщин.
5-1	299-304	Война	
5-2	305-306	–	
5-3	307-311	дело	
5-4	312-319	молодых	
5-5	319-320	,	
5-6	321-330	лекарство	
5-7	331-337	против	
5-8	338-344	морщин	
5-9	344-345	.	

#Text=Красная, красная кровь – через час уже просто земля, Через два на ней цветы и трава, через три она снова жива И согрета лучами Звезды по имени Солнце… И мы знаем, что так было всегда, что Судьбою больше любим, Кто живет по законам другим и кому умирать молодым.
6-1	346-353	Красная	
6-2	353-354	,	
6-3	355-362	красная	
6-4	363-368	кровь	
6-5	369-370	–	
6-6	371-376	через	
6-7	377-380	час	
6-8	381-384	уже	
6-9	385-391	просто	
6-10	392-397	земля	
6-11	397-398	,	
6-12	399-404	Через	
6-13	405-408	два	
6-14	409-411	на	
6-15	412-415	ней	
6-16	416-421	цветы	
6-17	422-423	и	
6-18	424-429	трава	
6-19	429-430	,	
6-20	431-436	через	
6-21	437-440	три	
6-22	441-444	она	
6-23	445-450	снова	
6-24	451-455	жива	
6-25	456-457	И	
6-26	458-465	согрета	
6-27	466-472	лучами	
6-28	473-479	Звезды	
6-29	480-482	по	
6-30	483-488	имени	
6-31	489-495	Солнце	
6-32	495-496	…	
6-33	497-498	И	
6-34	499-501	мы	
6-35	502-507	знаем	
6-36	507-508	,	
6-37	509-512	что	
6-38	513-516	так	
6-39	517-521	было	
6-40	522-528	всегда	
6-41	528-529	,	
6-42	530-533	что	
6-43	534-541	Судьбою	
6-44	542-548	больше	
6-45	549-554	любим	
6-46	554-555	,	
6-47	556-559	Кто	
6-48	560-565	живет	
6-49	566-568	по	
6-50	569-576	законам	
6-51	577-583	другим	
6-52	584-585	и	
6-53	586-590	кому	
6-54	591-598	умирать	
6-55	599-606	молодым	
6-56	606-607	.	

#Text=Он не помнит слово “да” и слово “нет”, он не помнит ни чинов, ни имен.
7-1	608-610	Он	
7-2	611-613	не	
7-3	614-620	помнит	
7-4	621-626	слово	
7-5	627-628	“	
7-6	628-630	да	
7-7	630-631	”	
7-8	632-633	и	
7-9	634-639	слово	
7-10	640-641	“	
7-11	641-644	нет	
7-12	644-645	”	
7-13	645-646	,	
7-14	647-649	он	
7-15	650-652	не	
7-16	653-659	помнит	
7-17	660-662	ни	
7-18	663-668	чинов	
7-19	668-669	,	
7-20	670-672	ни	
7-21	673-677	имен	
7-22	677-678	.	

#Text=И способен дотянуться до звезд, не считая, что это сон, И упасть, опаленным Звездой по имени Солнце…
8-1	679-680	И	
8-2	681-689	способен	
8-3	690-700	дотянуться	
8-4	701-703	до	
8-5	704-709	звезд	
8-6	709-710	,	
8-7	711-713	не	
8-8	714-720	считая	
8-9	720-721	,	
8-10	722-725	что	
8-11	726-729	это	
8-12	730-733	сон	
8-13	733-734	,	
8-14	735-736	И	
8-15	737-743	упасть	
8-16	743-744	,	
8-17	745-754	опаленным	
8-18	755-762	Звездой	
8-19	763-765	по	
8-20	766-771	имени	
8-21	772-778	Солнце	
8-22	778-779	…	
