link_id,mention_text,entity_type,region_id,finding_id,confidence
mm_image_link_01001,hypertensive,Disease,roi_img_cxr_000000_bilateral_lung_fields,finding_img_cxr_000000_pneumonia_label,0.45
mm_image_link_01001,Famotidine,Disease,roi_img_cxr_000000_bilateral_lung_fields,finding_img_cxr_000000_pneumonia_label,0.45
mm_image_link_01001,hypertensive,Chemical,roi_img_cxr_000000_bilateral_lung_fields,finding_img_cxr_000000_pneumonia_label,0.45
mm_image_link_01001,Famotidine,Chemical,roi_img_cxr_000000_bilateral_lung_fields,finding_img_cxr_000000_pneumonia_label,0.45
mm_image_link_01002,hypotensive,Disease,roi_img_cxr_000001_bilateral_lung_fields,finding_img_cxr_000001_pneumonia_label,0.45
mm_image_link_01002,congestive heart failure,Disease,roi_img_cxr_000001_bilateral_lung_fields,finding_img_cxr_000001_pneumonia_label,0.45
mm_image_link_01002,famotidine,Disease,roi_img_cxr_000001_bilateral_lung_fields,finding_img_cxr_000001_pneumonia_label,0.45
mm_image_link_01002,hypotensive,Chemical,roi_img_cxr_000001_bilateral_lung_fields,finding_img_cxr_000001_pneumonia_label,0.45
mm_image_link_01002,congestive heart failure,Chemical,roi_img_cxr_000001_bilateral_lung_fields,finding_img_cxr_000001_pneumonia_label,0.45
mm_image_link_01002,famotidine,Chemical,roi_img_cxr_000001_bilateral_lung_fields,finding_img_cxr_000001_pneumonia_label,0.45
mm_image_link_01003,hypertensive,Disease,roi_img_cxr_000002_bilateral_lung_fields,finding_img_cxr_000002_pneumonia_label,0.45
mm_image_link_01003,cardiac disease,Disease,roi_img_cxr_000002_bilateral_lung_fields,finding_img_cxr_000002_pneumonia_label,0.45
mm_image_link_01003,famotidine,Disease,roi_img_cxr_000002_bilateral_lung_fields,finding_img_cxr_000002_pneumonia_label,0.45
mm_image_link_01003,hypertensive,Chemical,roi_img_cxr_000002_bilateral_lung_fields,finding_img_cxr_000002_pneumonia_label,0.45
mm_image_link_01003,cardiac disease,Chemical,roi_img_cxr_000002_bilateral_lung_fields,finding_img_cxr_000002_pneumonia_label,0.45
mm_image_link_01003,famotidine,Chemical,roi_img_cxr_000002_bilateral_lung_fields,finding_img_cxr_000002_pneumonia_label,0.45
mm_image_link_01004,hypertensive,Disease,roi_img_cxr_000003_bilateral_lung_fields,finding_img_cxr_000003_pneumonia_label,0.45
mm_image_link_01004,cardiac arrhythmia,Disease,roi_img_cxr_000003_bilateral_lung_fields,finding_img_cxr_000003_pneumonia_label,0.45
mm_image_link_01005,cardiac asystole,Disease,roi_img_cxr_000004_bilateral_lung_fields,finding_img_cxr_000004_pneumonia_label,0.45
mm_image_link_01005,dyskinesia,Disease,roi_img_cxr_000004_bilateral_lung_fields,finding_img_cxr_000004_pneumonia_label,0.45
mm_image_link_01006,depression,Disease,roi_img_cxr_000005_bilateral_lung_fields,finding_img_cxr_000005_pneumonia_label,0.45
mm_image_link_01006,neurologic impairment,Disease,roi_img_cxr_000005_bilateral_lung_fields,finding_img_cxr_000005_pneumonia_label,0.45
mm_image_link_01007,bradyarrhythmias,Disease,roi_img_cxr_000006_bilateral_lung_fields,finding_img_cxr_000006_pneumonia_label,0.45
mm_image_link_01007,dyskinesia,Disease,roi_img_cxr_000006_bilateral_lung_fields,finding_img_cxr_000006_pneumonia_label,0.45
mm_image_link_01008,fasciculations,Disease,roi_img_cxr_000007_bilateral_lung_fields,finding_img_cxr_000007_pneumonia_label,0.45
mm_image_link_01009,tetanic,Disease,roi_img_cxr_000008_bilateral_lung_fields,finding_img_cxr_000008_pneumonia_label,0.45
mm_image_link_01010,Fasciculations,Disease,roi_img_cxr_000009_bilateral_lung_fields,finding_img_cxr_000009_pneumonia_label,0.45
mm_image_link_01011,fasciculation,Disease,roi_img_cxr_000010_bilateral_lung_fields,finding_img_cxr_000010_pneumonia_label,0.45
mm_image_link_01012,fasciculation,Disease,roi_img_cxr_000011_bilateral_lung_fields,finding_img_cxr_000011_pneumonia_label,0.45
mm_image_link_01013,twitch,Disease,roi_img_cxr_000012_bilateral_lung_fields,finding_img_cxr_000012_pneumonia_label,0.45
mm_image_link_01014,tetanus,Disease,roi_img_cxr_000013_bilateral_lung_fields,finding_img_cxr_000013_pneumonia_label,0.45
mm_image_link_01015,Fasciculations,Disease,roi_img_cxr_000014_bilateral_lung_fields,finding_img_cxr_000014_pneumonia_label,0.45
mm_image_link_01016,fasciculation,Disease,roi_img_cxr_000015_bilateral_lung_fields,finding_img_cxr_000015_pneumonia_label,0.45
mm_image_link_01017,fasciculation,Disease,roi_img_cxr_000016_bilateral_lung_fields,finding_img_cxr_000016_pneumonia_label,0.45
mm_image_link_01018,overdosage,Disease,roi_img_cxr_000017_bilateral_lung_fields,finding_img_cxr_000017_pneumonia_label,0.45
mm_image_link_01019,chronic renal failure,Disease,roi_img_cxr_000018_bilateral_lung_fields,finding_img_cxr_000018_pneumonia_label,0.45
mm_image_link_01020,nephropathy,Disease,roi_img_cxr_000019_bilateral_lung_fields,finding_img_cxr_000019_pneumonia_label,0.45
mm_image_link_01021,renal failure,Disease,roi_img_cxr_000020_bilateral_lung_fields,finding_img_cxr_000020_pneumonia_label,0.45
mm_image_link_01022,proteinuria,Disease,roi_img_cxr_000021_bilateral_lung_fields,finding_img_cxr_000021_pneumonia_label,0.45
mm_image_link_01023,hypertension,Disease,roi_img_cxr_000022_bilateral_lung_fields,finding_img_cxr_000022_pneumonia_label,0.45
mm_image_link_01024,glomerulosclerosis,Disease,roi_img_cxr_000023_bilateral_lung_fields,finding_img_cxr_000023_pneumonia_label,0.45
