READER,ID,BOOK ID,token_id,text,POS_tags,NER_tags,source_file,emotion_text,overall_mood
19,198,121,0,Northanger Abbey,Northanger_NOUN Abbey_NOUN,,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,,neutral
19,198,121,1,This little work was finished in the year eighteen o three and intended for immediate publication,This_DET little_ADJ work_NOUN was_VERB finished_VERB in_ADP the_DET year_NOUN eighteen_NOUN o_VERB three_NUM and_CONJ intended_VERB for_ADP immediate_ADJ publication_NOUN,the year eighteen_DATE three_CARDINAL,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,intended_anticipation,restless
19,198,121,2,Neither the author nor the public have any other concern than as some observation is necessary upon those parts of the work which thirteen years have made comparatively obsolete,Neither_CONJ the_DET author_NOUN nor_CONJ the_DET public_NOUN have_VERB any_DET other_ADJ concern_NOUN than_ADP as_ADP some_DET observation_NOUN is_VERB necessary_ADJ upon_ADP those_DET parts_NOUN of_ADP the_DET work_NOUN which_DET thirteen_ADJ years_NOUN have_VERB made_VERB comparatively_ADV obsolete_ADJ,thirteen years_DATE,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,author_positive public_anticipation,pleasant
19,198,121,3,The public are entreated to bear in mind that thirteen years have passed since it was finished many more since it was begun,The_DET public_NOUN are_VERB entreated_VERB to_PRT bear_VERB in_ADP mind_NOUN that_ADP thirteen_ADJ years_NOUN have_VERB passed_VERB since_ADP it_PRON was_VERB finished_VERB many_ADJ more_ADJ since_ADP it_PRON was_VERB begun_VERB,thirteen years_DATE,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,public_anticipation bear_anger begun_anticipation,restless
19,198,121,4,Chapter One No one who had ever seen Catherine Morland in her infancy would have supposed her born to be an heroine,Chapter_NOUN One_NUM No_NOUN one_NOUN who_PRON had_VERB ever_ADV seen_VERB Catherine_NOUN Morland_NOUN in_ADP her_PRON infancy_NOUN would_VERB have_VERB supposed_VERB her_PRON born_NOUN to_PRT be_VERB an_DET heroine_NOUN,Catherine Morland_PERSON,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,heroine_positive,harmonious
19,198,121,5,The character of her father and mother her own person and disposition were all equally against her,The_DET character_NOUN of_ADP her_PRON father_NOUN and_CONJ mother_NOUN her_PRON own_ADJ person_NOUN and_CONJ disposition_NOUN were_VERB all_DET equally_ADV against_ADP her_PRON,,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,father_trust mother_anticipation equally_positive,gentle
19,198,121,6,Her mother was a woman of useful plain sense with a good temper and what is more remarkable with a good constitution,Her_PRON mother_NOUN was_VERB a_DET woman_NOUN of_ADP useful_ADJ plain_NOUN sense_NOUN with_ADP a_DET good_ADJ temper_NOUN and_CONJ what_PRON is_VERB more_ADV remarkable_ADJ with_ADP a_DET good_ADJ constitution_NOUN,,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,mother_anticipation sense_positive good_anticipation remarkable_joy good_anticipation,watchful
19,198,121,7,Where there are heads and arms and legs enough for the number,Where_ADV there_DET are_VERB heads_NOUN and_CONJ arms_NOUN and_CONJ legs_NOUN enough_ADV for_ADP the_DET number_NOUN,,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,,neutral
19,198,121,8,She had a thin awkward figure,She_PRON had_VERB a_DET thin_ADJ awkward_NOUN figure_NOUN,,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,,neutral
19,198,121,9,Dark lank hair and strong features,Dark_NOUN lank_VERB hair_NOUN and_CONJ strong_ADJ features_NOUN,,train-clean-100\LibriSpeech\train-clean-100\19\198\19-198trans.csv,dark_sadness,somber
