landmark_id,name_ru,name_en,district_or_area,coords_note,wikidata_id,notes
land_ermitage,Государственный Эрмитаж,State Hermitage Museum,Центральный район,Привязка к ансамблю Зимнего дворца,Q93745,Комплекс музеев; в текстах часто «Зимний дворец»
land_peterpaul,Петропавловская крепость,Peter and Paul Fortress,Петроградская сторона,Остров Заячий,Q179885,Кафедральный собор внутри крепости — отдельная сущность при детальной разметке
land_isaak,Исаакиевский собор,St Isaac's Cathedral,Адмиралтейский район,Исаакиевская площадь,Q3332942,
land_kazan_cathedral,Казанский собор,Kazan Cathedral,Центральный район,Невский проспект,Q192276,
land_spilled_blood,Собор Воскресения Христова (Спас на Крови),Church of the Savior on Blood,Центральный район,Канал Грибоедова,Q192263,
land_peterhof_palace,Большой Петергофский дворец,Grand Peterhof Palace,Петергоф,Нижний парк,Q775565,Часть ансамбля «Петергоф»
land_catherine_palace,Екатерининский дворец,Catherine Palace,Пушкин (Царское Село),Садовая ул.,Q151705,Включает Янтарную комнату в туристических маршрутах
land_bronze_horseman,Памятник Петру I («Медный всадник»),The Bronze Horseman,Центральный район,Сенатская площадь,Q163647,
land_rostral,Ростральные колонны,Rostral Columns,Василеостровский район,Стрелка Васильевского острова,Q622866,
land_admiralty,Здание Главного Адмиратейства,Admiralty building,Центральный район,Дворцовая набережная,Q78383,
land_smolny,Смольный собор и дворцовый ансамбль,Smolny Cathedral ensemble,Центральный район,Смольный проспект,Q834963,Часто связывают с историей 1917 г.
land_palace_square,Дворцовая площадь,Palace Square,Центральный район,Между Зимним и Аркой ГШ,Q54790,PLACE-уровень внутри текста возможен как переходная локация
land_mariinsky,Мариинский театр,Mariinsky Theatre,Адмиралтейский район,Театральная пл.,Q192293,
land_aurora,Крейсер «Аврора»,Cruiser Aurora,Центральный район,Наб. Петровской крошечной,Q72878,Корабль-музей
land_summer_garden,Летний сад,Summer Garden,Центральный район,От Летнего канала,Q119822,
