,weapon,desc,token
0,p2000,P2000 - стартовый пистолет спецназа который имеет 13 патронов в магазине и 52 в резерве. Он был разработан компанией Heckler & Koch под пистолетные патроны 9 mm Parabellum .40 S&W. Однако в игре калибр мощнее и называется он .357 SIG.Взаимозаменяем в игровом магазине с USP-S.,"['стартовый_ADJF', 'пистолет_NOUN', 'спецназ_NOUN', 'который_ADJF', 'иметь_VERB', '13_NUM', 'патрон_NOUN', 'магазин_NOUN', '52_NUM', 'резерв_NOUN', 'разработать_PRTS', 'компания_NOUN', 'пистолетный_ADJF', 'патрон_NOUN', '9_NUM', '40_NUM', 'однако_CONJ', 'игра_NOUN', 'калибр_NOUN', 'мощный_COMP', 'называться_VERB', '357_NUM', 'взаимозаменяемый_ADJS', 'игровой_ADJF', 'магазин_NOUN']"
1,glock17,Каждая обойма Glock-18 имеет 20 патронов калибра 9мм и 120 патронов в запасе. У этого пистолета имеется 2 режима стрельбы: полуавтоматический и очереди из трех патрон. При стрельбе очередями из трех патрон отдача и разброс заметно увеличивается но всё-таки это применимо на близких дистанциях.,"['каждый_ADJF', 'обойма_NOUN', '18_NUM', 'иметь_VERB', '20_NUM', 'патрон_NOUN', 'калибр_NOUN', '120_NUM', 'патрон_NOUN', 'запас_NOUN', 'это_NPRO', 'пистолет_NOUN', 'иметься_VERB', '2_NUM', 'режим_NOUN', 'стрельба_NOUN', 'полуавтоматический_ADJF', 'очередь_NOUN', 'патрон_NOUN', 'стрельба_NOUN', 'очередь_NOUN', 'патрон_NOUN', 'отдача_NOUN', 'разброс_NOUN', 'заметно_ADVB', 'увеличиваться_VERB', 'всё_PRCL', 'таки_PRCL', 'это_PRCL', 'применимый_ADJS', 'близкий_ADJF', 'дистанция_NOUN']"
2,deagle,Desert Eagle — самый мощный пистолет в серии игр Counter-Strike и один из самых мощных в Counter-Strike: Global Offensiv.Единственный экземпляр из категории «Пистолеты» пробивающий стены. С первого выстрела в голову убивает даже защищённого каской противника. Закупается чаще снайперами с AWP поскольку очень мощный и помогает быстро убить противника на ближних дистанциях.,"['самый_ADJF', 'мощный_ADJF', 'пистолет_NOUN', 'серия_NOUN', 'игра_NOUN', 'самый_ADJF', 'мощный_ADJF', 'единственный_ADJF', 'экземпляр_NOUN', 'категория_NOUN', 'пистолет_NOUN', 'пробивать_PRTF', 'стена_NOUN', 'первый_ADJF', 'выстрел_NOUN', 'голова_NOUN', 'убивать_VERB', 'защитить_PRTF', 'каска_NOUN', 'противник_NOUN', 'закупаться_VERB', 'частый_COMP', 'снайпер_NOUN', 'поскольку_CONJ', 'очень_ADVB', 'мощный_ADJF', 'помогать_VERB', 'быстро_ADVB', 'убить_INFN', 'противник_NOUN', 'ближний_ADJF', 'дистанция_NOUN']"
3,cz75auto,CZ75-Auto — первый автоматический пистолет представленный в игре Counter-Strike: Global Offensive. Взаимозаменяем в игровом магазине с Five-SeveN (спецназ) и Tec-9 (террористы).CZ75 производится в Чехословакии с 1975 года. Находится на вооружении у полиции. Существует несколько вариантов данного пистолета. CZ75-Auto разработанный для спецподразделений в 1992 году имеет возможность полностью автоматической стрельбы именно он и используется в CS:GO. В каждом магазине находится 12 патронов. Альтернативой CZ является пистолет Five-SeveN и Tec-9.,"['первый_ADJF', 'автоматический_ADJF', 'пистолет_NOUN', 'представить_PRTF', 'игра_NOUN', 'взаимозаменяемый_ADJS', 'игровой_ADJF', 'магазин_NOUN', 'спецназ_NOUN', '9_NUM', 'террорист_NOUN', 'производиться_VERB', 'чехословакия_NOUN', '1975_NUM', 'год_NOUN', 'находиться_VERB', 'вооружение_NOUN', 'полиция_NOUN', 'существовать_VERB', 'несколько_ADVB', 'вариант_NOUN', 'данный_ADJF', 'пистолет_NOUN', 'разработать_PRTF', 'спецподразделение_NOUN', '1992_NUM', 'год_NOUN', 'иметь_VERB', 'возможность_NOUN', 'полностью_ADVB', 'автоматический_ADJF', 'стрельба_NOUN', 'именно_PRCL', 'использоваться_VERB', 'каждый_ADJF', 'магазин_NOUN', 'находиться_VERB', '12_NUM', 'патрон_NOUN', 'альтернатива_NOUN', 'являться_VERB', 'пистолет_NOUN', '9_NUM']"
4,nova,Nova — помповый дробовик в Counter-Strike: Global Offensive. Он заменяет M3 из ранних версий Counter-Strike.Этот итальянский дробовик имеет в себе 8 патронов 12-ого калибра и 32 патрона в резерве. Nova может быть приобретена как и спецназом так и террористами. Темп стрельбы Новы чуть ниже чем у M3 что компенсируется большим уроном.,"['помповый_ADJF', 'дробовик_NOUN', 'заменять_VERB', 'ранний_ADJF', 'версия_NOUN', 'итальянский_ADJF', 'дробовик_NOUN', 'иметь_VERB', '8_NUM', 'патрон_NOUN', '12_NUM', 'ого_INTJ', 'калибр_NOUN', '32_NUM', 'патрон_NOUN', 'резерв_NOUN', 'мочь_VERB', 'приобрести_PRTS', 'спецназ_NOUN', 'террорист_NOUN', 'темп_NOUN', 'стрельба_NOUN', 'новый_ADJS', 'ниже_PREP', 'компенсироваться_VERB', 'больший_ADJF', 'урон_NOUN']"
5,mag7,MAG-7 — помповый дробовик в Counter-Strike: Global Offensive. Находится на вооружении только у спецназа.MAG-7 производится в ЮАР компанией Arms PTY. Он имеет магазин на 5 патронов калибра 12х60 мм. Является одним из самых популярных дробовиков в CS:GO. Ружьё имеет короткий ствол и магазины в качестве боеприпасов что позволяет экономить кучу времени на перезарядку. Всего в запасе 32 патрона. Данный дробовик наносит огромный урон в упор он более точен чем другие дробовики. Кроме этого он может спокойно убить на средне-близком расстоянии когда Nova уже не способна на это. Дробовик имеет низкую скорострельность и нельзя заряжать по одному патрону как у других дробовиков. Только магазином.,"['7_NUM', 'помповый_ADJF', 'дробовик_NOUN', 'находиться_VERB', 'вооружение_NOUN', 'спецназ_NOUN', '7_NUM', 'производиться_VERB', 'юар_NOUN', 'компания_NOUN', 'иметь_VERB', 'магазин_NOUN', '5_NUM', 'патрон_NOUN', 'калибр_NOUN', 'мм_INTJ', 'являться_VERB', 'самый_ADJF', 'популярный_ADJF', 'дробовик_NOUN', 'ружьё_NOUN', 'иметь_VERB', 'короткий_ADJF', 'ствол_NOUN', 'магазин_NOUN', 'качество_NOUN', 'боеприпас_NOUN', 'позволять_VERB', 'экономить_INFN', 'куча_NOUN', 'время_NOUN', 'перезарядка_NOUN', 'весь_ADJF', 'запас_NOUN', '32_NUM', 'патрон_NOUN', 'данный_ADJF', 'дробовик_NOUN', 'наносить_VERB', 'огромный_ADJF', 'урон_NOUN', 'упор_NOUN', 'точный_ADJS', 'дробовик_NOUN', 'кроме_PREP', 'это_NPRO', 'мочь_VERB', 'спокойно_ADVB', 'убить_INFN', 'средне_ADVB', 'близкий_ADJF', 'расстояние_NOUN', 'способный_ADJS', 'это_PRCL', 'дробовик_NOUN', 'иметь_VERB', 'низкий_ADJF', 'скорострельность_NOUN', 'заряжать_INFN', 'патрон_NOUN', 'дробовик_NOUN', 'магазин_NOUN']"
6,sawedoff,Sawed-Off — помповый дробовик в Counter-Strike: Global Offensive. Находится на вооружении только у террористов.Sawed-Off является модифицированной версией дробовика Remington 870 с обрезанным прикладом. У данного дробовика имеется 7 патронов-картечи 12-го калибра и 32 в резерве. Он наносит огромный урон и убивает с одного выстрела вблизи на средних дистанциях достаточно 2-3 выстрела чтобы противник был убит.,"['помповый_ADJF', 'дробовик_NOUN', 'находиться_VERB', 'вооружение_NOUN', 'террорист_NOUN', 'являться_VERB', 'модифицированный_ADJF', 'версия_NOUN', 'дробовик_NOUN', '870_NUM', 'обрезать_PRTF', 'приклад_NOUN', 'данный_ADJF', 'дробовик_NOUN', 'иметься_VERB', '7_NUM', 'патрон_NOUN', 'картечь_NOUN', '12_NUM', 'го_NOUN', 'калибр_NOUN', '32_NUM', 'резерв_NOUN', 'наносить_VERB', 'огромный_ADJF', 'урон_NOUN', 'убивать_VERB', 'выстрел_NOUN', 'вблизи_PREP', 'средний_ADJF', 'дистанция_NOUN', 'достаточно_ADVB', '2_NUM', '3_NUM', 'выстрел_NOUN', 'противник_NOUN', 'убить_PRTS']"
7,mac10,MAC-10 — пистолет-пулемёт в Counter-Strike: Global Offensive который могут купить только террористы.MAC-10 — пистолет-пулемёт с механизмом свободного затвора выпущенный Гордоном Ингрэмом. В игре в каждом магазине этого оружия 30 патрон калибра .45 ACP. «Мак» редко используется игроками из-за своей отдачи и неточности.,"['10_NUM', 'пистолет_NOUN', 'пулемёт_NOUN', 'который_ADJF', 'мочь_VERB', 'купить_INFN', 'террорист_NOUN', '10_NUM', 'пистолет_NOUN', 'пулемёт_NOUN', 'механизм_NOUN', 'свободный_ADJF', 'затвор_NOUN', 'выпустить_PRTF', 'гордон_NOUN', 'ингрэм_NOUN', 'игра_NOUN', 'каждый_ADJF', 'магазин_NOUN', 'это_NPRO', 'оружие_NOUN', '30_NUM', 'патрон_NOUN', 'калибр_NOUN', '45_NUM', 'мак_NOUN', 'редко_ADVB', 'использоваться_VERB', 'игрок_NOUN', 'свой_ADJF', 'отдача_NOUN', 'неточность_NOUN']"
8,mp9,MP9 — пистолет-пулемёт в Counter-Strike: Global Offensive эксклюзивный для спецназа.MP9 — швейцарский пистолет-пулемет 9мм калибра. Каждый магазин этого оружия содержит 30 патронов а в резерве — 120. Как и все другие пистолеты-пулеметы в CS:GO за убийство из MP9 его владелец получит двукратную награду — 600$ и 300$ в соревновательном и обычном режиме соответственно.,"['пистолет_NOUN', 'пулемёт_NOUN', 'эксклюзивный_ADJF', 'спецназ_NOUN', 'швейцарский_ADJF', 'пистолет_NOUN', 'пулемёт_NOUN', 'калибр_NOUN', 'каждый_ADJF', 'магазин_NOUN', 'это_NPRO', 'оружие_NOUN', 'содержать_VERB', '30_NUM', 'патрон_NOUN', 'резерв_NOUN', '120_NUM', 'всё_PRCL', 'пистолет_NOUN', 'пулемёт_NOUN', 'убийство_NOUN', 'владелец_NOUN', 'получить_VERB', 'двукратный_ADJF', 'награда_NOUN', '600_NUM', '300_NUM', 'соревновательный_ADJF', 'обычный_ADJF', 'режим_NOUN', 'соответственно_ADVB']"
9,p90,P90 — пистолет-пулемёт в Counter-Strike: Global Offensive.P90 — пистолет-пулемет бельгийского производства имеющий компоновку «булл-пап». В каждом магазине этого оружия 50 патронов калибра 5.7x28мм. Данный пистолет-пулемёт известен своей хорошо контролируемой отдачей. P90 остается точным при ходьбе владельца и длительной стрельбе одновременно. Но всё это компенсируется маленьким уроном.,"['пистолет_NOUN', 'пулемёт_NOUN', 'пистолет_NOUN', 'пулемёт_NOUN', 'бельгийский_ADJF', 'производство_NOUN', 'иметь_PRTF', 'компоновка_NOUN', 'булла_NOUN', 'папа_NOUN', 'каждый_ADJF', 'магазин_NOUN', 'это_NPRO', 'оружие_NOUN', '50_NUM', 'патрон_NOUN', 'калибр_NOUN', '5_NUM', '7x28мма_NOUN', 'данный_ADJF', 'пистолет_NOUN', 'пулемёт_NOUN', 'известный_ADJS', 'свой_ADJF', 'контролировать_PRTF', 'отдача_NOUN', 'оставаться_VERB', 'точный_ADJF', 'ходьба_NOUN', 'владелец_NOUN', 'длительный_ADJF', 'стрельба_NOUN', 'одновременно_ADVB', 'всё_PRCL', 'это_PRCL', 'компенсироваться_VERB', 'маленький_ADJF', 'урон_NOUN']"
